,Name,Card Type,Attribute,Type of Spell and Trap,Type,Level/Rank/Link,Abilities/Other,Cid,Release Name,Release Date,Release Link
2404,Telekinetic Power Well,Spell,,Quick-play Spell,,,,8050,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2405,Indomitable Gladiator Beast,Spell,,Quick-play Spell,,,,8051,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2406,Seed Cannon,Spell,,Continuous Spell,,,,8052,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2407,Super Solar Nutrient,Spell,,Continuous Spell,,,,8053,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2408,Six Scrolls of the Samurai,Spell,,Quick-play Spell,,,,8054,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2409,Verdant Sanctuary,Spell,,Continuous Spell,,,,8055,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2410,Arcane Barrier,Spell,,Continuous Spell,,,,8056,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2411,Mysterious Triangle,Spell,,Quick-play Spell,,,,8057,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2412,Assault Mode Activate,Trap,,Normal Trap,,,,8058,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2413,Spirit Force,Trap,,Normal Trap,,,,8059,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2414,Descending Lost Star,Trap,,Normal Trap,,,,8060,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2415,Shining Silver Force,Trap,,Counter Trap,,,,8061,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2416,Half or Nothing,Trap,,Normal Trap,,,,8062,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2417,Nightmare Archfiends,Trap,,Normal Trap,,,,8063,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2418,Ebon Arrow,Trap,,Normal Trap,,,,8064,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2419,Ivy Shackles,Trap,,Continuous Trap,,,,8065,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2420,Fake Explosion,Trap,,Normal Trap,,,,8066,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2421,Morphtronic Forcefield,Trap,,Counter Trap,,,,8067,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2422,Morphtronic Mix-up,Trap,,Normal Trap,,,,8068,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2423,Assault Slash,Trap,,Normal Trap,,,,8069,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2424,Assault Counter,Trap,,Counter Trap,,,,8070,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2425,Psychic Tuning,Trap,,Continuous Trap,,,,8071,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2426,Supernatural Regeneration,Trap,,Normal Trap,,,,8072,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2427,Trojan Gladiator Beast,Trap,,Normal Trap,,,,8073,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2428,Wall of Thorns,Trap,,Normal Trap,,,,8074,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2429,Planet Pollutant Virus,Trap,,Normal Trap,,,,8075,CRIMSON CRISIS,2009/04/16,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000195000&rp=99999&request_locale=ae
2430,Destiny HERO - Doom Lord,Effect,DARK,,Warrior,3,,6658,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2431,Destiny HERO - Captain Tenacious,Effect,DARK,,Warrior,3,,6659,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2432,Destiny HERO - Diamond Dude,Effect,DARK,,Warrior,4,,6660,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2433,Destiny HERO - Dreadmaster,Effect,DARK,,Warrior,8,,6661,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2434,Cyber Tutu,Effect,EARTH,,Warrior,3,,6664,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2435,Cyber Gymnast,Effect,EARTH,,Warrior,4,,6665,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2436,Cyber Prima,Effect,LIGHT,,Warrior,6,,6666,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2437,Cyber Kirin,Effect,LIGHT,,Machine,3,,6662,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2438,Cyber Phoenix,Effect,FIRE,,Machine,4,,6663,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2439,Searchlightman,Flip,LIGHT,,Machine,3,,6683,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2440,Victory Viper XX03,Effect,LIGHT,,Machine,4,,6684,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2441,Swift Birdman Joe,Effect,WIND,,Winged Beast,6,,6704,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2442,Harpie's Pet Baby Dragon,Effect,WIND,,Dragon,4,,6686,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2443,Majestic Mech - Senku,Effect,LIGHT,,Fairy,4,,6687,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2444,Majestic Mech - Ohka,Effect,LIGHT,,Fairy,6,,6688,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2445,Majestic Mech - Goryu,Effect,LIGHT,,Fairy,8,,6689,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2446,Royal Knight,Effect,LIGHT,,Fairy,3,,6691,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2447,Herald of Green Light,Effect,LIGHT,,Fairy,2,,6693,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2448,Herald of Purple Light,Effect,LIGHT,,Fairy,2,,6692,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2449,Bountiful Artemis,Effect,LIGHT,,Fairy,4,,6690,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2450,Layard the Liberator,Effect,LIGHT,,Fairy,4,,6694,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2451,Banisher of the Radiance,Effect,LIGHT,,Fairy,3,,6695,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2452,Voltanis the Adjudicator,Effect,LIGHT,,Fairy,8,,6696,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2453,Guard Dog,Flip,EARTH,,Beast,3,,6697,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2454,Whirlwind Weasel,Flip,WIND,,Beast,3,,6698,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2455,Avalanching Aussa,Effect,EARTH,,Spellcaster,4,,6699,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2456,Raging Eria,Effect,WATER,,Spellcaster,4,,6700,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2457,Blazing Hiita,Effect,FIRE,,Spellcaster,4,,6701,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2458,Storming Wynn,Effect,WIND,,Spellcaster,4,,6702,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2459,Batteryman D,Effect,LIGHT,,Thunder,1,,6703,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2460,Super-Electromagnetic Voltech Dragon,Effect,LIGHT,,Thunder,5,,6685,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2461,Elemental HERO Phoenix Enforcer,Fusion,FIRE,,Warrior,6,,6655,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2462,Elemental HERO Shining Phoenix Enforcer,Fusion,FIRE,,Warrior,8,,6656,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2463,Elemental HERO Mariner,Fusion,WATER,,Warrior,5,,6657,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2464,Elemental HERO Wild Wingman,Fusion,EARTH,,Warrior,8,,6643,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2465,Elemental HERO Necroid Shaman,Fusion,DARK,,Warrior,6,,6644,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2466,Misfortune,Spell,,Normal Spell,,,,6669,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2467,H - Heated Heart,Spell,,Normal Spell,,,,6671,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2468,E - Emergency Call,Spell,,Normal Spell,,,,6672,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2469,R - Righteous Justice,Spell,,Normal Spell,,,,6673,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2470,O - Oversoul,Spell,,Normal Spell,,,,6674,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2471,Hero Flash!!,Spell,,Normal Spell,,,,6675,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2472,Power Capsule,Spell,,Normal Spell,,,,6706,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2473,Celestial Transformation,Spell,,Quick-play Spell,,,,6705,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2474,Guard Penalty,Spell,,Quick-play Spell,,,,6667,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2475,Grand Convergence,Spell,,Quick-play Spell,,,,6670,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2476,Dimensional Fissure,Spell,,Continuous Spell,,,,6707,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2477,Clock Tower Prison,Spell,,Field Spell,,,,6668,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2478,Life Equalizer,Trap,,Normal Trap,,,,6708,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2479,Elemental Recharge,Trap,,Normal Trap,,,,6676,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2480,Destruction of Destiny,Trap,,Normal Trap,,,,6677,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2481,Destiny Signal,Trap,,Normal Trap,,,,6679,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2482,D - Time,Trap,,Normal Trap,,,,6678,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2483,D - Shield,Trap,,Normal Trap,,,,6680,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2484,Icarus Attack,Trap,,Normal Trap,,,,6709,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2485,Elemental Absorber,Trap,,Continuous Trap,,,,6681,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2486,Macro Cosmos,Trap,,Continuous Trap,,,,6682,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2487,Miraculous Descent,Trap,,Continuous Trap,,,,6710,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2488,Shattered Axe,Trap,,Continuous Trap,,,,6159,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2489,Forced Back,Trap,,Counter Trap,,,,6712,ENEMY OF JUSTICE,2007/01/18,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000039000&rp=99999&request_locale=ae
2490,"Uria, Lord of Searing Flames",Effect,FIRE,,Pyro,10,,6563,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2491,"Hamon, Lord of Striking Thunder",Effect,LIGHT,,Thunder,10,,6564,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2492,"Raviel, Lord of Phantasms",Effect,DARK,,Fiend,10,,6565,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2493,Elemental HERO Neo Bubbleman,Effect,WATER,,Warrior,4,,6566,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2494,Hero Kid,Effect,EARTH,,Warrior,2,,6567,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2495,Cyber Barrier Dragon,Effect,LIGHT,,Machine,6,,6568,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2496,Cyber Laser Dragon,Effect,LIGHT,,Machine,7,,6569,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2497,Ancient Gear,Effect,EARTH,,Machine,2,,6570,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2498,Ancient Gear Cannon,Effect,EARTH,,Machine,2,,6587,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2499,Proto-Cyber Dragon,Effect,LIGHT,,Machine,3,,6588,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2500,Adhesive Explosive,Effect,WIND,,Machine,3,,6589,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2501,Machine King Prototype,Effect,EARTH,,Machine,3,,6590,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2502,B.E.S. Covered Core,Effect,EARTH,,Machine,7,,6591,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2503,D.D. Guide,Effect,DARK,,Warrior,4,,6592,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2504,Chain Thrasher,Effect,WIND,,Warrior,4,,6593,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2505,Disciple of the Forbidden Spell,Effect,LIGHT,,Warrior,4,,6594,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2506,Tenkabito Shien,Effect,FIRE,,Pyro,4,,6595,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2507,Parasitic Ticky,Effect,EARTH,,Insect,1,,6596,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2508,Gokipon,Effect,EARTH,,Insect,2,,6597,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2509,Silent Insect,Effect,EARTH,,Insect,2,,6598,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2510,Chainsaw Insect,Effect,EARTH,,Insect,4,,6599,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2511,Anteatereatingant,Effect,EARTH,,Insect,5,,6600,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2512,Saber Beetle,Effect,EARTH,,Insect,6,,6601,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2513,Doom Dozer,Effect,EARTH,,Insect,8,,6602,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2514,Treeborn Frog,Effect,WATER,,Aqua,1,,6603,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2515,Beelze Frog,Effect,WATER,,Aqua,3,,6604,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2516,Princess Pikeru,Effect,LIGHT,,Spellcaster,4,,6605,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2517,Princess Curran,Effect,DARK,,Spellcaster,4,,6606,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2518,Memory Crusher,Effect,DARK,,Fiend,3,,6607,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2519,Malice Ascendant,Effect,DARK,,Zombie,4,,6608,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2520,Grass Phantom,Effect,WATER,,Plant,3,,6609,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2521,Sand Moth,Effect,EARTH,,Rock,4,,6610,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2522,Divine Dragon - Excelion,Effect,LIGHT,,Dragon,5,,6611,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2523,"Ruin, Queen of Oblivion",Ritual,LIGHT,,Fairy,8,,6612,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
2524,"Demise, King of Armageddon",Ritual,DARK,,Fiend,8,,6613,SHADOW OF INFINITY,2006/10/26,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000036000&rp=99999&request_locale=ae
